Instances,Solution1,Solution2,Solution3,Solution4,Solution5,Best,AVG
QMC-100-64,141954.0091,142754.0095,142528.0094,141835.0095,143074.0091,141835.0095,142429.0093
QMC-100-65,142736.009,142553.0091,142751.01,142230.0095,141985.0091,141985.0091,142451.0093
QMC-100-66,139897.0094,140251.0094,139699.0098,140502.0097,140231.0098,139699.0098,140116.0096
QMC-100-67,103136.0019,103269.0019,103483.0018,102776.0019,102908.0019,102776.0019,103114.4019
QMC-100-68,101635.0017,101726.0016,101576.0017,101527.0017,101464.0017,101464.0017,101585.6017
QMC-100-69,100795.0015,100520.0015,101132.0015,100769.0016,101044.0015,100520.0015,100852.0015
QMC-100-70,116203.0048,116330.0048,116369.0048,116264.0049,116237.0049,116203.0048,116280.6048
QMC-100-71,115656.0048,115546.0048,115594.0048,115701.0052,115610.0048,115546.0048,115621.4049
QMC-100-72,114883.0046,115012.0049,115327.0047,114676.0048,114880.0051,114676.0048,114955.6048
QMC-200-73,394205.0032,394044.0031,394315.0031,393895.0032,393587.0032,393587.0032,394009.2032
QMC-200-74,387995.0025,387698.0025,387090.0025,387061.0024,387412.0025,387061.0024,387451.2025
QMC-200-75,386352.0025,387034.0026,386822.0025,386260.0026,386425.0025,386260.0026,386578.6026
QMC-200-76,427808.0102,427197.0102,427229.0101,425838.0099,425922.0099,425838.0099,426798.8101
QMC-200-77,426993.0103,426889.0103,427093.0099,426793.0104,427403.01,426793.0104,427034.2102
QMC-200-78,422572.0095,423491.0091,424931.0097,423705.0094,422947.0095,422572.0095,423529.2094
QMC-200-79,375366.0017,375546.0017,375705.0017,375100.0017,375192.0017,375100.0017,375381.8017
QMC-200-80,367461.0012,368002.0012,368055.0012,366750.0012,367512.0012,366750.0012,367556.0012
QMC-200-81,366778.0013,367333.0012,367349.0013,366958.0012,367518.0012,366778.0013,367187.2012
QMC-200-82,396486.0054,396597.0056,395962.0053,395616.0054,396113.0054,395616.0054,396154.8054
QMC-200-83,394855.0054,394392.0053,394563.0054,395120.0054,393757.0052,393757.0052,394537.4053
QMC-200-84,390842.0048,391072.0046,391151.0046,390814.0046,391609.0048,390814.0046,391097.6047
QMC-200-85,421794.0068,421981.0068,422241.0068,422789.007,421662.0068,421662.0068,422093.4068
QMC-200-86,421795.0065,421082.0066,421374.0063,422243.0066,421490.0065,421082.0066,421596.8065
QMC-200-87,418994.0064,419136.0064,418827.0063,419363.0066,418649.0063,418649.0063,418993.8064
QMC-200-88,476494.0186,477089.0185,477255.0186,476653.0191,478298.0195,476494.0186,477157.8188
QMC-200-89,478068.0188,477910.0193,477400.0188,477854.0187,476701.0187,476701.0187,477586.6188
QMC-200-90,473437.0191,473152.0191,473503.0187,473573.0184,473607.0191,473152.0191,473454.4188
QMC-200-91,398409.0036,398299.0037,398124.0037,398264.0036,397681.0036,397681.0036,398155.4036
QMC-200-92,395436.0033,396233.0034,395043.0032,395263.0032,394758.0031,394758.0031,395346.6032
QMC-200-93,392935.0031,392863.0031,392006.003,392965.0031,392436.003,392006.003,392641.0031
QMC-200-94,424533.0097,425672.0097,425322.0099,426207.0097,425294.0097,424533.0097,425405.6098
QMC-200-95,424770.01,424453.0097,424508.0098,423159.0096,423940.0096,423159.0096,424166.0097
QMC-200-96,422818.0096,422696.0098,421821.0095,422753.0096,422124.0095,421821.0095,422442.4096
